Name,"Paleographic features"
"1017 He-1","ה:additional:upper horizontal stroke protruding rightward"
"1017 He-2",ה:body:inclination:vertical
"1017 He-2","ה:horizontal strokes:number:three"
"1017 He-2",ה:shaft:length:short
"1017 He-2","ה:shaft:angle with strokes:right"
"1017 He-2","ה:additional:shaft protruding upward"
"1017 He-2","ה:additional:upper horizontal stroke protruding rightward"
"1017 He-2",ה:body:inclination:vertical
"1017 He-2","ה:horizontal strokes:number:three"
"1017 He-2",ה:shaft:length:medium
"1017 He-2","ה:shaft:angle with strokes:right"
"1017 He-2","ה:additional:shaft protruding upward"
"1017 He-2","ה:additional:upper horizontal stroke protruding rightward"
"1017 Kaf-1",כ:body:inclination:vertical
"1017 Kaf-1","כ:head:shape:parallel left and middle fingers"
"1017 Kaf-1",כ:foot:footless
"1017 Lamed-1",ל:body:inclination:vertical
"1017 Lamed-1",ל:shaft:straight
"1017 Lamed-1","ל:foot:shape:single stroke"
"1017 Lamed-1",ל:foot:inclination:upward
"1017 Nun-1",נ:body:inclination:vertical
"1017 Nun-1",נ:head:shape:cup-shaped
"1017 Nun-1",נ:tail:straight
"1017 Nun-1","נ:additional:reversed letter"
"1017 Nun-1",נ:foot:footless
"1017 Nun-2",נ:body:inclination:vertical
"1017 Nun-2",נ:head:shape:cup-shaped
"1017 Nun-2",נ:tail:straight
"1017 Nun-2","נ:additional:reversed letter"
"1017 Nun-2",נ:foot:footless
"1017 Waw-1","ו:body:inclination:oblique leftward"
"1017 Waw-1","ו:head:shape:square cup"
"1017 Waw-1","ו:additional:slanted head"
"1017 Waw-1","ו:nose:with nose"
"1017 Waw-1","ו:additional:head protrusion"
"1017 Waw-2",ו:body:inclination:vertical
"1017 Waw-2","ו:head:shape:square cup"
"1017 Waw-2","ו:additional:slanted head"
"1017 Waw-2","ו:nose:with nose"
"1017 Yod-1","י:horizontal strokes:parallel horizontal"
"1017 Yod-1",י:body:inclination:vertical
"1017 Yod-1",י:foot:direction:horizontal
"1017 Yod-1","י:additional:protruding lower stroke"
"1017 Yod-2","י:horizontal strokes:parallel horizontal"
"1017 Yod-2",י:body:inclination:vertical
"1017 Yod-2",י:foot:direction:horizontal
"1017 Yod-2",י:foot:length:medium
"1017 Yod-2","י:additional:protruding lower stroke"
"1018 Beth-1",ב:body:inclination:vertical
"1018 Beth-1",ב:head:shape:quarter-circle
"1018 Beth-1",ב:leg:angular
"1018 Beth-1","ב:additional:elongated shaft"
"1018 Lamed-1",ל:body:inclination:oblique
"1018 Lamed-1",ל:shaft:straight
"1018 Lamed-1",ל:foot:shape:angular
"1018 Lamed-1",ל:foot:inclination:downward
"1018 Mem-1",מ:body:inclination:oblique
"1018 Mem-1",מ:head:shape:zigzag
"1018 Mem-1",מ:tail:shape:angular
"1018 Mem-1","מ:foot:with foot"
"1018 Mem-1","מ:additional:head missing one connector"
"1018 Nun-1",נ:body:inclination:oblique
"1018 Nun-1",נ:head:shape:zigzag
"1018 Nun-1",נ:tail:angular
"1018 Nun-1","נ:foot:with foot"
"1019 Aleph-1",א:body:inclination:vertical
"1019 Aleph-1",א:head:shape:parallel
"1019 Ayin-1",ע:body:shape:triangle
"1019 He-1",ה:body:inclination:oblique
"1019 He-1","ה:horizontal strokes:number:three"
"1019 He-1",ה:shaft:length:medium
"1019 He-1","ה:shaft:angle with strokes:acute"
"1019 He-1","ה:additional:lower horizontal stroke curving upward"
"1019 He-1","ו–ה:additional:ligatures:waw-he ligature"
"1019 He-2",ה:body:inclination:oblique
"1019 He-2","ה:horizontal strokes:number:three"
"1019 He-2",ה:shaft:length:medium
"1019 He-2","ה:shaft:angle with strokes:acute"
"1019 He-2","ו–ה:additional:ligatures:waw-he ligature"
"1019 Lamed-1",ל:body:inclination:oblique
"1019 Lamed-1",ל:shaft:straight
"1019 Lamed-1",ל:foot:shape:angular
"1019 Lamed-1",ל:foot:inclination:downward
"1019 Resh-1",ר:body:inclination:vertical
"1019 Resh-1",ר:head:shape:triangular
"1019 Resh-1","ר:additional:right head protrusion"
"1019 Resh-2",ר:body:inclination:oblique
"1019 Resh-2",ר:head:shape:triangular
"1019 Waw-1",ו:body:inclination:vertical
"1019 Waw-1","ו:head:shape:square cup"
"1019 Waw-1","ו:additional:slanted head"
"1019 Waw-1","ו:nose:with nose"
"1019 Waw-1","ו–ה:additional:ligatures:waw-he ligature"
"1019 Waw-2",ו:body:inclination:vertical
"1019 Waw-2","ו:head:shape:square cup"
"1019 Waw-2","ו:additional:slanted head"
"1019 Waw-2","ו:nose:with nose"
"1019 Yod-1","י:horizontal strokes:parallel downward"
"1019 Yod-1",י:body:inclination:oblique
"1019 Yod-1",י:foot:direction:upward
"1019 Yod-1",י:foot:length:medium
"1019 Yod-2","י:horizontal strokes:parallel downward"
"1019 Yod-2",י:body:inclination:oblique
"1019 Yod-2",י:foot:direction:upward
"1019 Yod-2",י:foot:length:medium
"1019 Zayin-1",ז:body:orientation:landscape
"1019 Zayin-1",ז:shaft:inclination:vertical
"1019 Zayin-1","ז:additional:single lower tick"
"1020 Beth-1",ב:body:inclination:vertical
"1020 Beth-1",ב:head:shape:round
"1020 Beth-1",ב:leg:angular
"1020 Beth-1","ב:additional:absent/vestigial shaft"
"1020 Lamed-1",ל:body:inclination:oblique
"1020 Lamed-1",ל:shaft:straight
"1020 Lamed-1",ל:foot:shape:curved
"1020 Mem-1",מ:body:inclination:recumbent
"1020 Mem-1",מ:tail:shape:curved
"1020 Mem-1","מ:foot:with foot"
"1020 Shin-1",ש:body:inclination:vertical
"1020 Shin-1","ש:body:shape:curved fork"
"1020 Tet-1","ט:central mark:+-shaped"
"1021 Aleph-1",א:body:inclination:oblique
"1021 Aleph-1",א:head:shape:parallel
"1021 Ayin-1",ע:body:shape:teardrop
"1021 He-1",ה:body:inclination:oblique
"1021 He-1","ה:horizontal strokes:number:three"
"1021 He-1",ה:additional:increasing
"1021 He-1",ה:shaft:length:medium
"1021 He-1","ה:shaft:angle with strokes:right"
"1021 He-1","ה:additional:upper horizontal stroke protruding rightward"
"1021 He-2",ה:body:inclination:oblique
"1021 He-2","ה:horizontal strokes:number:three"
"1021 He-2",ה:additional:increasing
"1021 He-2",ה:shaft:length:short
"1021 He-2","ה:shaft:angle with strokes:right"
"1021 Lamed-1",ל:body:inclination:oblique
"1021 Lamed-1",ל:shaft:straight
"1021 Lamed-1",ל:foot:shape:angular
"1021 Lamed-1",ל:foot:inclination:downward
"1021 Mem-1",מ:body:inclination:oblique
"1021 Mem-1",מ:head:shape:zigzag
"1021 Mem-1",מ:tail:shape:curved
"1021 Mem-1","מ:foot:with foot"
"1021 Resh-1",ר:body:inclination:oblique
"1021 Resh-1",ר:head:shape:triangular
"1021 Shin-1",ש:body:inclination:vertical
"1021 Shin-1",ש:body:shape:w-shaped
"1021 Waw-1","ו:body:inclination:oblique leftward"
"1021 Waw-1","ו:head:shape:square cup"
"1021 Waw-1","ו:additional:slanted head"
"1021 Waw-1","ו:nose:with nose"
